row,count.x,abv,ibu,id,drink,style,manufacture_id,ounces,style2,count.y,city,state,label
75,150,5.2,30,175,Pineapple-Guava Juice,KIZILAY,2575,16.0,Tropical,280,San Diego,CA,Guava Pineapple
76,130,5.3,40,176,Lemon-Raspberry Juice,ZELTER,2576,10.0,Sweet,220,New York,NY,Raspberry Lemon
77,180,6.1,50,177,Strawberry-Coconut Juice,GINGER_ALE,2577,12.0,Tropical,230,Austin,TX,Coconut Berry
78,140,4.9,30,178,Carrot-Apple-Cucumber Juice,KIZILAY,2578,8.0,Earthy,210,Denver,CO,Earthy Blend
79,160,6.3,40,179,Peach-Papaya Juice,ZELTER,2579,12.0,Tropical,240,San Diego,CA,Peach Papaya
80,150,5.1,60,180,Blackberry-Citrus Juice,KIZILAY,2580,16.0,Citrus,250,Seattle,WA,Citrusy Blackberry
81,120,5.7,45,181,Strawberry-Lemonade,GINGER_ALE,2581,12.0,Sweet,200,Portland,OR,Lemonade Burst
82,130,5.6,50,182,Tomato-Pineapple Juice,ZELTER,2582,14.0,Tart,220,San Diego,CA,Pineapple Tomato
83,160,6.4,40,183,Peach-Orange Juice,KIZILAY,2583,8.0,Sweet,240,Austin,TX,Peachy Orange
84,140,5.9,35,184,Guava-Papaya Juice,ZELTER,2584,12.0,Tropical,230,Chicago,IL,Guava Papaya
85,180,5.5,60,185,Apple-Strawberry Juice,GINGER_ALE,2585,10.0,Sweet,210,Portland,OR,Strawberry Apple
86,150,5.3,45,186,Cherry-Pomegranate Juice,KIZILAY,2586,12.0,Sweet,220,Boston,MA,Pomegranate Cherry
87,130,5.0,30,187,Lemon-Ginger Juice,ZELTER,2587,8.0,Spicy,200,Los Angeles,CA,Lemon Ginger
88,120,5.1,40,188,Kiwi-Papaya Juice,GINGER_ALE,2588,12.0,Tropical,210,San Diego,CA,Kiwi Papaya
89,200,5.2,50,189,Apple-Carrot Juice,ZELTER,2589,10.0,Earthy,220,Austin,TX,Apple Carrot
90,140,5.4,30,190,Strawberry-Watermelon Juice,KIZILAY,2590,12.0,Sweet,230,Seattle,WA,Strawberry Watermelon
91,150,5.3,45,191,Plum-Apple Juice,ZELTER,2591,14.0,Tart,240,Boston,MA,Apple Plum
92,160,5.0,50,192,Peach-Basil Juice,GINGER_ALE,2592,12.0,Herbal,250,San Diego,CA,Peach Basil
93,170,6.0,40,193,Pineapple-Papaya Juice,KIZILAY,2593,10.0,Tropical,260,Austin,TX,Papaya Pineapple
94,120,5.7,30,194,Lemon-Mango Juice,ZELTER,2594,12.0,Sweet,230,Portland,OR,Lemon Mango
95,150,5.8,50,195,Watermelon-Lime Juice,GINGER_ALE,2595,8.0,Citrus,220,Chicago,IL,Lime Watermelon
96,140,5.3,60,196,Orange-Strawberry Juice,KIZILAY,2596,14.0,Sweet,210,San Diego,CA,Orange Strawberry
97,160,5.5,30,197,Carrot-Orange Juice,ZELTER,2597,10.0,Earthy,240,Portland,OR,Carrot Orange
98,150,5.2,50,198,Pineapple-Guava Juice,KIZILAY,2598,16.0,Tropical,250,Seattle,WA,Guava Pineapple
99,130,5.6,40,199,Ginger-Pear Juice,GINGER_ALE,2599,12.0,Spicy,230,Denver,CO,Ginger Pear
100,180,5.4,35,200,Cherry-Citrus Juice,KIZILAY,2600,14.0,Sweet,240,Boston,MA,Cherry Citrus
